ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_MT,NU_NOTA_REDACAO
0,496.1,585.3,495.8,320.0
1,558.5,641.9,515.9,600.0
2,493.1,566.6,512.0,520.0
3,410.9,534.4,437.6,340.0
4,453.5,577.9,545.8,580.0
5,564.9,619.4,484.5,760.0
6,459.8,484.7,537.8,560.0
7,407.8,538.8,516.5,340.0
8,514.1,543.8,482.7,340.0
9,572.7,675.5,631.8,720.0
10,538.0,660.0,732.0,580.0
11,591.9,613.8,625.6,840.0
12,445.7,497.0,398.3,460.0
13,567.7,644.2,726.4,900.0
14,428.2,420.7,406.3,340.0
15,451.6,400.2,563.6,360.0
16,651.7,668.7,706.0,840.0
17,597.3,653.6,647.7,700.0
18,421.6,629.2,445.3,360.0
19,456.3,559.4,612.9,560.0
20,515.1,445.0,455.8,620.0
21,574.3,644.1,650.5,600.0
22,573.1,626.2,522.6,560.0
23,362.5,554.7,461.5,320.0
24,495.5,432.4,504.7,380.0
25,480.5,616.0,736.2,520.0
26,393.8,475.5,439.4,260.0
27,523.4,607.3,514.9,360.0
28,383.4,439.4,588.1,0.0
29,406.3,539.5,422.6,380.0
30,478.8,588.3,386.3,660.0
31,612.8,671.8,616.9,880.0
32,569.2,620.5,675.9,680.0
33,549.2,609.4,494.3,600.0
34,528.9,606.0,582.0,500.0
35,439.2,474.8,511.1,320.0
36,428.8,552.6,498.6,360.0
37,517.6,543.2,518.0,540.0
38,526.8,590.4,465.0,400.0
39,414.3,580.1,552.3,360.0
40,494.0,504.9,448.5,480.0
41,410.3,630.5,491.3,340.0
42,484.5,588.1,673.5,400.0
43,405.7,447.4,454.8,340.0
44,673.8,711.4,712.2,960.0
45,424.4,398.0,394.7,320.0
46,417.7,538.3,387.6,640.0
47,466.4,454.5,422.6,520.0
48,373.2,461.0,452.0,440.0
49,530.9,596.6,440.3,580.0
50,488.3,496.3,456.2,320.0
51,369.0,496.1,474.1,520.0
52,454.7,414.8,663.3,600.0
53,430.6,619.1,449.6,520.0
54,469.2,623.6,643.5,520.0
55,424.5,637.4,657.7,500.0
56,479.7,445.3,429.0,580.0
57,542.5,568.1,539.2,440.0
58,511.7,597.9,598.1,480.0
59,506.8,662.3,787.9,680.0
60,538.1,407.9,496.1,640.0
61,388.0,516.7,477.4,380.0
62,401.8,490.2,462.1,320.0
63,433.5,598.9,550.7,520.0
64,511.9,591.5,437.4,640.0
65,462.8,426.8,446.2,0.0
66,507.5,609.3,435.8,360.0
67,408.1,426.8,529.5,380.0
68,465.2,447.5,455.4,340.0
69,420.1,572.2,575.2,640.0
70,541.5,578.4,589.8,580.0
71,575.0,640.9,661.7,640.0
72,452.8,548.7,538.9,560.0
73,505.8,570.7,506.7,360.0
74,521.3,647.8,637.0,540.0
75,421.2,572.1,450.6,380.0
76,445.9,609.8,485.9,260.0
77,481.0,447.1,586.3,340.0
78,528.8,628.0,469.5,760.0
79,522.1,640.4,597.3,760.0
80,432.7,564.8,525.6,500.0
81,631.1,614.3,672.0,360.0
82,435.4,483.4,422.1,620.0
83,503.9,448.1,444.9,480.0
84,469.0,527.2,468.3,400.0
85,490.1,593.0,497.9,640.0
86,494.5,524.8,410.0,560.0
87,496.4,584.6,460.5,580.0
88,444.3,461.0,504.7,340.0
89,454.0,511.7,517.9,400.0
90,516.0,553.6,457.0,340.0
91,390.1,539.2,598.6,560.0
92,497.3,641.6,470.4,440.0
93,546.7,414.4,431.7,440.0
94,578.8,619.1,684.5,640.0
95,559.2,675.5,627.7,520.0
96,462.2,607.5,534.5,300.0
97,496.5,432.8,496.7,360.0
98,409.1,545.5,470.6,740.0
99,491.2,583.1,556.0,540.0
100,605.6,644.4,781.3,680.0
101,465.0,603.0,436.7,360.0
102,541.7,570.6,575.7,600.0
103,548.4,667.6,657.1,560.0
104,443.5,577.8,583.9,600.0
105,635.7,690.6,746.3,880.0
106,667.0,668.8,797.0,760.0
107,650.5,625.9,675.7,880.0
108,382.9,536.5,411.4,540.0
109,679.1,687.1,738.8,840.0
110,467.4,623.6,436.3,600.0
111,429.9,570.6,401.5,360.0
112,506.5,534.0,484.6,640.0
113,522.8,699.7,654.3,520.0
114,474.2,496.7,408.6,560.0
115,412.5,580.7,459.3,360.0
116,553.2,545.5,545.4,320.0
117,518.3,578.4,598.7,520.0
118,588.1,643.7,719.0,840.0
119,511.3,608.2,552.7,620.0
120,507.3,600.4,506.4,400.0
121,500.2,440.3,483.0,640.0
122,391.9,588.5,396.7,580.0
123,610.8,668.0,726.5,900.0
124,456.2,563.6,522.7,400.0
125,520.2,632.8,488.8,700.0
126,555.5,510.4,434.1,460.0
127,489.5,548.2,478.4,340.0
