ID,NU_NOTA_LC
0,516.9816
1,573.56195
2,522.3636
3,475.5623
4,529.1163
5,571.1775
6,483.6488
7,485.05435
8,499.95032
9,611.07007
10,599.3297
11,591.8563
12,466.93176
13,616.6676
14,425.00516
15,457.71307
16,634.90375
17,604.6114
18,524.3013
19,526.11847
20,476.4892
21,590.3848
22,566.32825
23,479.04916
24,469.10196
25,566.3079
26,439.94675
27,536.04407
28,435.6561
29,478.42484
30,527.18567
31,624.3034
32,586.17804
33,554.5707
34,552.10913
35,457.4774
36,494.27914
37,516.8111
38,526.1664
39,510.53592
40,484.21997
41,526.50464
42,539.5319
43,435.14514
44,666.98444
45,416.72104
46,493.1057
47,456.17728
48,443.0253
49,539.0585
50,469.56396
51,466.5263
52,486.2199
53,531.7578
54,558.9921
55,558.9756
56,458.41864
57,527.9294
58,545.98236
59,607.8835
60,485.08176
61,470.31387
62,454.32376
63,532.6661
64,537.43677
65,435.3966
66,526.7343
67,442.30182
68,451.61435
69,528.27637
70,546.8924
71,592.70557
72,513.13367
73,515.19885
74,578.945
75,498.93854
76,516.2061
77,480.2671
78,568.37463
79,586.0052
80,512.5254
81,579.77246
82,471.78348
83,467.24396
84,487.815
85,540.92145
86,495.1584
87,530.21124
88,455.7519
89,483.149
90,502.33112
91,505.19684
92,549.2535
93,472.06952
94,585.18365
95,595.5391
96,525.01404
97,467.52383
98,510.06763
99,535.6186
100,613.4843
101,517.4771
102,543.1197
103,595.72095
104,532.68195
105,649.55975
106,641.0663
107,613.98096
108,482.86862
109,651.0144
110,543.3133
111,493.32166
112,514.00226
113,604.25305
114,478.6278
115,501.28278
116,516.10297
117,540.3805
118,614.8101
119,555.4667
120,532.13153
121,475.8673
122,510.08704
123,634.43243
124,508.62613
125,567.3631
126,494.4364
127,497.9364
128,532.5102
129,541.1954
130,527.357
131,453.08267
132,568.75336
133,480.14874
134,514.08167
135,568.3532
136,581.8741
137,516.2232
138,456.4534
139,471.5304
140,505.5582
141,489.8801
142,503.28305
143,523.0758
144,532.92426
145,600.05115
146,694.4557
147,568.37616
148,491.90198
149,574.3901
150,612.04095
151,489.94592
152,594.2894
153,529.024
154,534.35675
155,559.91907
156,473.79248
157,485.74576
158,471.66144
159,624.3233
160,638.88434
161,657.4739
162,615.36847
163,426.8849
164,434.23218
165,517.0752
166,547.6221
167,552.8699
168,566.79816
169,595.4525
170,600.66943
171,404.08813
172,581.79175
173,468.21786
174,568.0136
175,488.9866
176,576.3674
177,516.471
178,550.6447
179,569.47375
180,493.82315
181,512.6428
182,517.0367
183,510.62106
184,512.03094
185,609.91986
186,505.7334
187,618.87115
188,490.60977
189,487.6326
190,529.61957
191,475.84995
192,525.83093
193,599.37665
194,575.33246
195,541.6386
196,462.9878
197,576.41455
198,534.8014
199,554.881
200,463.50372
201,611.55493
202,554.48065
