ID,NU_NOTA_LC
0,513.31213
1,567.98083
2,521.272
3,474.70645
4,527.1339
5,568.21063
6,488.70078
7,484.05167
8,499.73138
9,604.1153
10,592.6289
11,590.49585
12,469.91055
13,613.33545
14,428.90054
15,442.0435
16,630.30133
17,599.5469
18,516.4901
19,525.65497
20,477.64188
21,585.2072
22,561.9061
23,476.02728
24,457.36597
25,561.94446
26,442.92084
27,531.3063
28,423.55493
29,477.31198
30,524.7141
31,618.97815
32,583.2667
33,551.2923
34,548.5272
35,461.5907
36,492.538
37,517.92334
38,522.8423
39,506.6819
40,487.42755
41,518.47723
42,536.4756
43,440.90134
44,660.0964
45,416.61185
46,493.60608
47,463.05
48,447.92413
49,536.2695
50,472.46606
51,469.22296
52,475.69052
53,525.7493
54,553.6516
55,551.9802
56,466.45358
57,526.9297
58,542.7448
59,601.3684
60,472.09882
61,470.8763
62,456.68112
63,528.5184
64,535.14545
65,416.78674
66,521.4302
67,443.57306
68,450.60168
69,526.75867
70,546.04114
71,588.0406
72,513.2324
73,513.01587
74,572.4756
75,495.5999
76,509.70447
77,466.41095
78,564.282
79,581.2532
80,510.77887
81,567.5815
82,476.65814
83,465.98157
84,488.6271
85,538.4298
86,497.20416
87,527.9844
88,457.6733
89,485.10477
90,501.31522
91,505.44547
92,541.9249
93,455.23077
94,582.28876
95,587.26917
96,519.248
97,455.442
98,510.72595
99,533.4878
100,609.48535
101,512.1512
102,542.93896
103,588.23694
104,530.8115
105,643.4435
106,636.4398
107,612.76556
108,482.58942
109,645.4294
110,537.8181
111,489.9461
112,516.1598
113,593.78436
114,482.56845
115,497.0966
116,511.72116
117,538.9364
118,611.3939
119,552.11096
120,527.9327
121,477.57532
122,506.14178
123,629.7997
124,506.66977
125,562.5149
126,496.64355
127,497.07837
128,529.0006
129,534.75073
130,520.33514
131,458.5944
132,562.5709
133,470.10696
134,512.7914
135,566.5614
136,575.04443
137,516.35895
138,461.34604
139,475.65836
140,503.59222
141,483.63135
142,504.14716
143,523.52057
144,528.63855
145,593.816
146,685.20966
147,566.3152
148,495.88373
149,569.1969
150,604.1546
151,486.49573
152,587.95544
153,521.777
154,527.172
155,556.8369
156,473.30774
157,480.51276
158,471.19156
159,617.95966
160,635.3812
161,653.6229
162,603.7
163,425.92963
164,441.61688
165,516.0732
166,541.7384
167,546.55066
168,560.78845
169,590.65515
170,594.41626
171,394.97232
172,573.862
173,469.9474
174,563.62537
175,487.72223
176,569.3718
177,515.7978
178,529.1763
179,549.2554
180,493.47873
181,507.84924
182,517.8666
183,511.45462
184,510.7642
185,610.30414
186,502.83286
187,611.6827
188,491.30948
189,491.45773
190,525.53033
191,478.7087
192,524.7074
193,592.0191
194,569.29913
195,538.49
196,469.37897
197,571.1594
198,531.9326
199,551.9397
200,465.2252
201,605.13696
202,550.3974
203,439.47195
204,537.57886
205,439.0279
206,542.6897
207,448.3411
208,574.08673
209,612.40753
210,493.18283
211,530.6661
212,530.39014
213,491.11368
214,533.92444
215,606.0381
216,556.0117
217,495.36252
218,535.2258
219,520.7279
220,519.754
221,483.88803
222,524.4228
223,519.09326
224,496.5319
225,545.5343
226,571.0293
227,598.7294
228,613.8387
229,542.3683
230,459.31458
231,556.985
232,456.98026
233,540.3894
234,573.15454
235,510.85754
236,524.9422
237,463.5961
238,486.6084
239,522.87006
240,573.13916
241,638.1967
242,512.6256
243,492.22855
244,649.34814
245,533.901
246,570.08203
247,485.42914
248,425.63684
249,553.83746
250,572.8613
251,540.49133
252,430.39188
253,542.0421
254,472.0798
255,471.1208
256,556.64026
257,577.3153
258,482.4351
259,553.217
260,450.8235
261,447.79514
262,507.51636
263,473.91583
264,529.4238
265,501.35086
266,558.31195
267,485.1046
268,461.8151
269,424.19794
270,588.958
271,444.1373
272,490.61765
273,598.6022
274,523.2422
275,572.88367
276,463.82788
277,585.0642
278,495.87042
279,544.81287
280,549.2602
281,509.13153
282,532.9606
283,536.1449
284,578.7478
285,494.96753
286,606.4676
287,489.7558
288,477.25528
289,421.55493
290,495.85852
291,516.63336
292,432.61023
293,592.7211
294,418.8871
295,645.5998
296,517.87164
297,490.7772
298,549.9739
299,604.6122
300,580.97986
301,460.10052
302,489.11783
303,600.53796
304,529.9465
305,563.54553
306,522.7722
307,621.93884
308,539.32983
309,563.9305
310,600.8554
311,602.1471
312,402.19598
313,447.29422
314,559.7713
315,653.6416
316,473.13678
317,524.5978
318,464.09866
319,568.2368
320,480.97162
321,605.4135
322,648.4411
323,607.8342
324,572.5976
325,481.57614
326,587.002
327,559.19946
328,478.99396
329,487.87762
330,519.91956
331,558.67206
332,575.0658
333,504.27505
334,535.7954
335,478.29764
336,579.7986
337,502.82828
338,446.47516
339,431.4954
340,559.53204
341,494.0897
342,502.0843
343,435.09546
344,480.59653
345,557.9037
346,512.81433
347,562.0239
348,591.4696
349,611.4702
350,529.2688
351,556.4717
352,554.2234
353,570.19727
354,575.21533
355,510.32272
356,416.53906
357,504.25815
358,564.5819
359,574.47
360,524.73413
361,485.58536
362,588.3064
363,485.45554
364,583.7643
365,502.7778
366,439.66656
367,568.90247
368,509.59988
369,514.4552
370,467.30246
371,558.4558
372,430.7789
373,505.58203
374,502.4212
375,522.07996
376,467.56375
377,519.51965
378,521.7416
379,455.54105
380,464.01367
381,489.4726
382,410.85687
383,457.79883
384,537.5635
385,594.5769
386,529.26746
387,656.9402
388,607.1672
389,430.50134
390,514.38586
391,469.35892
392,519.34973
393,447.95157
394,545.9952
395,444.28806
396,602.5995
397,426.9848
398,570.9265
399,594.1926
400,430.32855
401,521.62134
402,539.32227
403,496.29153
404,578.09753
405,458.59543
406,524.46814
407,507.8694
408,665.5353
409,433.0118
410,505.21503
411,626.78046
412,554.18726
413,524.3134
414,540.2594
415,567.40784
416,526.63025
417,657.9117
418,465.25452
419,490.80695
420,493.4815
421,485.73807
422,536.66833
423,541.96094
424,573.84985
425,610.6806
426,578.9979
427,545.97107
428,542.1101
429,514.3071
430,593.69934
431,519.42114
432,508.2187
433,437.8405
434,472.96796
435,480.32422
436,498.13095
437,552.7932
438,571.42444
439,602.81506
440,448.91232
441,490.87875
442,578.48865
443,453.53952
444,541.03784
445,519.76025
446,491.45688
447,581.7241
448,517.5076
449,556.2312
450,511.5161
451,502.5962
452,496.3222
453,513.27454
454,635.9032
455,437.59967
456,495.47644
457,581.5846
458,532.18933
459,517.74786
460,520.49927
461,547.0247
462,464.02988
463,486.0248
464,510.92224
